Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_205A_Value";Mon Aug 21 2023 11:26:07 GMT+0300 (Москва, стандартное время);"99.2331";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_206A_Value";Mon Aug 21 2023 11:25:17 GMT+0300 (Москва, стандартное время);"-3.2118058";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_207A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-1.070398";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_312_State";Mon Aug 21 2023 07:12:05 GMT+0300 (Москва, стандартное время);"2";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_313_State";Mon Aug 21 2023 07:12:05 GMT+0300 (Москва, стандартное время);"2";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_314_State";Mon Aug 21 2023 07:12:05 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_FI_300C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"29.521208";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_FI_300F_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"28.847351";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_FI_300R_Value";Mon Aug 21 2023 11:23:02 GMT+0300 (Москва, стандартное время);"-0.6329724";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_LI_310A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"8.266397";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_300B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"4.4338665";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_300E_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"3.4330666";Good;0;"";"";
