Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"DB25_DBW52";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"690";Good;0;"";"";
"BRAZ.LP.LO2.LA4.MS5.N1";;"";;;"";"";
"BRAZ.LP.LO2.LA4.MS6.N2";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N3";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N4";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N5";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N6";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N7";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N8";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N9";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N10";;"";;;"";"";
"KRAZ.LP.L1.LB5.LITE52.T.L.MW220.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"4797";Good;0;"";"";
"KRAZ.LP.L1.LB5.LITE52.T.S.M191.PV.R_MO";Wed Aug 16 2023 01:35:34 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB5.LITE52.T.S.M190.PV.R";Wed Aug 16 2023 02:05:49 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB6.LITE16.T.F.MD100.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"310.87542724609375";Good;0;"";"";
"KRAZ.LP.L1.LB6.LITE16.T.F.MW212.PV.R";Wed Aug 16 2023 03:03:19 GMT+0300 (Москва, стандартное время);"65";Good;0;"";"";
"KRAZ.LP.L1.LB6.LITE16.T.L.MW214.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB6.LITE16.T.S.M171.PV.R_MO";Wed Aug 16 2023 03:01:04 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB6.LITE16.T.S.M170.PV.R";Wed Aug 16 2023 02:57:34 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LA7.LITR02.T.S.M170.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITR02.T.S.M171.PV.R_MO";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITR02.T.F.MD100.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITR02.T.F.MW212.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITR02.T.L.MD226.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITR02.T.T.MD92.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITV03.T.S.M190.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITV03.T.S.M191.PV.R_MO";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITV03.T.F.MD108.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITV03.T.F.MW218.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LA7.LITV03.T.L.MD230.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB3_DBW16.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB3_DBW128.PV.R";;"";;;"";"";
