Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"EP_S2_PLC2.S7_N.Crane23.DB100_DBB58";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBD60";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBD64";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBD68";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"36";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBW56";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBW80";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX125_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX125_4";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX133_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX2_6";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_4";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_5";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_6";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_7";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX37_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX37_1";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX46_1";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX46_2";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX46_5";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX55_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX602_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX617_3";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX620_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX620_1";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX620_2";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX620_3";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX620_5";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX620_6";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX620_7";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX621_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX621_1";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB101_DBX8_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB102_DBX8_2";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB102_DBX8_3";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB102_DBX8_6";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB102_DBX8_7";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB102_DBX9_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD104";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"2492.7698";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD20";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"5774.906";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD32";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"6757.1943";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD4";Mon Aug 21 2023 11:26:43 GMT+0300 (Москва, стандартное время);"27";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD44";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"374.00723";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD56";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"16957.629";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD68";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"609.3639";Good;0;"";"";
