Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"EN_HS_SRV1.OUA_R.Boiler.F_W_afM_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.F_W_afM_max";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"1500";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.F_W_afM_min";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_delW_CAM";Mon Aug 21 2023 13:22:33 GMT+0300 (Москва, стандартное время);"0.0055555557";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_delW_CAM_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_delW_CAM_max";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"1.6";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_delW_CAM_min";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_ELC1";Mon Aug 21 2023 12:58:42 GMT+0300 (Москва, стандартное время);"0.0055555557";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_ELC1_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_ELC1_max";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"1.6";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_Dir_ELC1_min";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_CAM";Mon Aug 21 2023 13:30:35 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_CAM_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_CAM_max";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"1";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_CAM_min";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_ELC23";Mon Aug 21 2023 13:30:44 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_ELC23_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_ELC23_max";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"1";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_FeBK_delW_ELC23_min";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_W_afH1_H5_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_W_afH1_H5_max";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"2.5";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.P_W_afH1_H5_min";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_Dir_delW";Mon Aug 21 2023 09:58:18 GMT+0300 (Москва, стандартное время);"45";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_Dir_delW_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_Dir_delW_max";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"150";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_Dir_delW_min";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_DirW_ELC1";Mon Aug 21 2023 12:49:31 GMT+0300 (Москва, стандартное время);"46";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_DirW_ELC1_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_DirW_ELC1_max";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"100";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_DirW_ELC1_min";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBK_delW_ELC23";Mon Aug 21 2023 13:29:55 GMT+0300 (Москва, стандартное время);"78";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBK_delW_ELC23_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBK_delW_ELC23_max";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"100";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBK_delW_ELC23_min";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBkW_ELC1";Mon Aug 21 2023 13:30:30 GMT+0300 (Москва, стандартное время);"77";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBkW_ELC1_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBkW_ELC1_max";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"100";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.T_FeBkW_ELC1_min";Mon Aug 21 2023 09:35:54 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.F_Steam_CPFS";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"29.628725";Good;0;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.F_Steam_CPFS_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.F_Steam_Khamz_PSW";Mon Aug 21 2023 13:30:28 GMT+0300 (Москва, стандартное время);"-0.625";Good;0;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.P_Pair_PSW125";Mon Aug 21 2023 13:26:22 GMT+0300 (Москва, стандартное время);"-0.00028935185";Good;0;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.P_Steam_CPFS";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"1.1851491";Good;0;"";"";
