Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"rusal.kraz.5-1.9.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"1000";Good;0;"";"";
"rusal.kraz.5-1.10.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"1000";Good;0;"";"";
"rusal.kraz.5-1.9.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"30";Good;0;"";"";
"rusal.kraz.5-1.10.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.9.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"100";Good;0;"";"";
"rusal.kraz.5-1.10.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"300";Good;0;"";"";
"rusal.kraz.5-1.13";Mon Aug 21 2023 11:25:59 GMT+0300 (Москва, стандартное время);"4.082754611968994";Good;0;"";"";
"rusal.kraz.5-1.14";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"25.43402862548828";Good;0;"";"";
"rusal.kraz.5-1.15";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"32.002315521240234";Good;0;"";"";
"rusal.kraz.5-1.16";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"66.69560241699219";Good;0;"";"";
"rusal.kraz.5-1.17";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"34114.58203125";Good;0;"";"";
"rusal.kraz.5-1.18";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"1.8518518209457397";Good;0;"";"";
"rusal.kraz.5-1.19";Mon Aug 21 2023 11:19:59 GMT+0300 (Москва, стандартное время);"1.859375";Good;0;"";"";
"rusal.kraz.5-1.20";Mon Aug 21 2023 11:26:29 GMT+0300 (Москва, стандартное время);"27459.490234375";Good;0;"";"";
"rusal.kraz.5-1.21";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"1.5694444179534912";Good;0;"";"";
"rusal.kraz.5-1.22";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"1.5300925970077515";Good;0;"";"";
"rusal.kraz.5-1.13.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.14.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.15.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.16.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.17.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.18.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.19.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"1";Good;0;"";"";
"rusal.kraz.5-1.20.LB";Fri Aug 18 2023 11:00:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
